Varenummer;navn;poeng
3321701;Masi Brolo di Campofiorin 2015;89
3343502;Geil Bechtheimer Geyersberg Beerenauslese Rieslaner 2018;89
3345201;Bache-Gabrielsen Pineau des Charentes Very Old;89
3394801;Terre Nere Etna Bianco 2018;89
3396101;Ch. Montifaud Vieux Pineau des Charentes Rouge;89
3404401;Cape Rock White 2016;89
3520501;Nino Negri Inferno Valtellina Superiore 2016;89
3520701;Nino Negri Sassorosso Grumello Valtellina Superiore 2015;89
3522801;Serio et Battista Borgogno Barbaresco 2015;89
3526001;Ioppa Vespolina 2007;89
3530701;Wittmann Westhofener Riesling Trocken 2016;89
2200901;Rall White 2015;89
2220801;Dom. des Hâtes Chablis 2014;89
2221201;Montenidoli Vernaccia di San Gimignano Tradizionale 2016;89
2224901;Juvé y Camps Milesimé Brut;89
2240601;Adega Algueira Ribeira Sacra Mencia 2015;89
2240801;Adega Algueira Brandan Ribeira Sacra Godello 2015;89
2263701;Leroux Bourgogne Rouge 2017;89
2641401;Luis Seabra Granito Cru Alvarinho 2017;89
2738601;Pascal Clement Montagny 1er Cru Les Coères 2017;89
