varenummer;poeng;konklusjon;argang_apreritif;smakt;url_aperitif
10307301;87;En herlig vin som tåler 4-5 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/garrone-munaloss-2016/2140500
10310101;87;En lett eiket men god og bløt vin som tåler 4-5 år. Godt kjøp.;2016; 30. august 2018;https://www.aperitif.no/pollisten/produkt/quails-gate-chardonnay-2016/2140212
10314601;87;En artig vin som tåler 4-5 år. Vel verd prisen.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/cos-zibibbo-in-pithos-2017/2140195
10317701;87;En god og tørr oransjevin som drikker godt nå og som tåler 5-6 år. Godt kjøp.;NA; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/jojo-mosel-orange-juice-2018/2140282
10317901;87;En god og tørr gruner som tåler 5-6 år. Meget godt kjøp.;2018; 27. juni 2019;https://www.aperitif.no/pollisten/produkt/dom-wachau-durnstein-federspiel-gruner-veltliner-2018/2140424
10318101;87;En god champagne preget av røde epler. Tåler 3-4 år. Godt kjøp.;NA; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/alexandre-bonnet-expression-organic-brut/2140423
10327701;87;En god og smaksrik sekt som tåler 4-5 år. Godt kjøp.;2015; 15. september 2018;https://www.aperitif.no/pollisten/produkt/strauch-zero-brut-nature-2016/2141829
10332501;87;En god og saftig vin som tåler 3-4 år. Godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/dom-giachino-ma-douce-2017/2140503
10335501;87;En god fortsatt ung vin som tåler 6-7 år. Godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/frontonio-supersonico-garnacha-2016/2140262
10338802;87;En god halvflaske for nåkonsum. Verd prisen.;2013; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/bouchard-pere-fils-pommard-2014/2140410
10339301;87;En smaksrik litt eiket hvitvin som tåler 6-7 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/mas-olivier-expression-2018/2140452
10340301;87;En litt rustikk men god vin som tåler 5-6 år. Meget godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/mas-des-agrunelles-nicot-rouge/2140233
